ITEM NUM,ITEM NAME,REV,DESCRIPTION,UOM,line number,QTY,REF DES,NOTES,MFG_1,MFG P/N_1,MFG_2,MFG P/N_2,MFG_3,MFG P/N_3,file supplier,file name
501-000009-01,PCA SUNRISE TEST ADAPTER,A0,PCA_SUNRISE_TEST_ADAPTER,EA,,,,,,,,,,,,501-000009-01_REVA0_PLACE.xlsx
120-001012,CAP CER 0.1UF 50V 10% X7R 0402,A,CAP_CER_0.1UF_50V_10%_X7R_0402,EA,,14,C40 C41 C42 C43 C44 C45 C46 C47 C48 C51 C53 C55 C57 C59,,Murata,GRM155R71H104KE14D,AVX,04025C104KAT2A,Samsung,CL05B104KB5NNNC,,
120-001027,CAP CER 1UF 10V 20% X5R 0402,A,CAP_CER_1UF_10V_20%_X5R_0402,EA,,1,C58,,AVX,0402ZD105MAT2A,Kemet,C0402C105M8PACTU,Murata,GRM153R61A105ME95D,,
120-001030,CAP CER 10UF 10V 20% X5R 0402,A,CAP_CER_10UF_10V_20%_X5R_0402,EA,,2,C50 C56,,AVX,0402ZD106MAT2A,Samsung,CL05A106MP5NRNC,Murata,GRM155R61A106ME11D,,
120-001054,CAP CER 10UF 50V 10% X5R 0805,A,CAP_CER_10UF_50V_10%_X5R_0805,EA,,2,C52 C54,,TDK,C2012X5R1H106K125AC,Samsung,CL21A106KBYQNNE,Murata,GRM21BR61H106KE43L,,
125-001049,CON HDR 2X5 2MM54 TH VER LATCH BLK,A,CON_HDR_2X5_2MM54_TH_VER_LATCH_BLK,EA,,1,P8_COM2,,TE Connectivity,1761608-3,,,,,,
125-001052,CON HDR 2X5 2MM54 TH VER LATCH BLU,A,CON_HDR_2X5_2MM54_TH_VER_LATCH_BLU,EA,,1,P5,,TE Connectivity,2-1761608-3,,,,,,
125-001057,CON HDR 2X5 2MM54 TH VER,A,CON_HDR_2X5_2MM54_TH_VER,EA,,2,P2 P7_COM3,,Harwin,M20-9980545,,,,,,
125-001067,CON HDR 2X2 3MM0 TH VER PWR 5A,A,CON_HDR_2X2_3MM0_TH_VER_PWR_5A,EA,,1,P20,,Molex,043045-0414,,,,,,
125-001085,CON ZIF 1X20 1MM0 SM VER,A,CON_ZIF_1X20_1MM0_SM_VER,EA,,1,J4,,Amphenol,SFW20S-2STE1LF,,,,,,
125-001086,CON ZIF 1X10 1MM0 SM VER,A,CON_ZIF_1X10_1MM0_SM_VER,EA,,1,J1,,Amphenol,SFW10S-2STE1LF,,,,,,
125-001087,CON ZIF 1X10 1MM0 SM RA,A,CON_ZIF_1X10_1MM0_SM_RA,EA,,1,J5,,Amphenol,SFW10R-1STE1LF,,,,,,
125-001088,CON HDR 1X3 1MM SM VER JST,A,CON_HDR_1X3_1MM_SM_VER_JST,EA,,1,P3,,JST,BM03B-SRSS-TB (LF)(SN),,,,,,
125-001089,CON HDR 1X2 2MM5 TH RA,A,CON_HDR_1X2_2MM5_TH_RA,EA,,1,P4,,JST,S2B-XH-A (LF)(SN),,,,,,
125-001092,CON DB44 FEM TH VER,A,CON_DB44_FEM_TH_VER,EA,,1,J3,,Amphenol,10090929-S444VLF,Kycon,K86X-BD-44S-BRJ,,,,
125-001093,CON RECP 2X25 2MM TH VER,A,CON_RECP_2X25_2MM_TH_VER,EA,,2,J27 J28,,Samtec,ESQT-125-02-F-D-500,,,,,,
125-001094,CON HDR 1X3 2MM54 TH VER,A,CON_HDR_1X3_2MM54_TH_VER,EA,,1,JP1,,TE Connectivity,87224-3,Molex,0022285034,,,,
150-001049,ICS REPEATER I2C 2CH TSSOP8,A,ICS_REPEATER_I2C_2CH_TSSOP8,EA,,1,U44,,NXP,"PCA9515ADP,118",Texas Instruments,PCA9515BDGKR,,,,
150-001051,ICS MUX 2TO1 4G 74LVC157APW TSSOP16,A,ICS_MUX_2TO1_4G_74LVC157APW_TSSOP16,EA,,4,U40 U41 U42 U43,,Nexperia,"74LVC157APW,118",Texas Instruments,SN74LVC157APWR,,,,
150-001076,ICS BUF 1G 74LVC1G125 SC70,A,ICS_BUF_1G_74LVC1G125_SC70,EA,,1,U51,,Texas Instruments,SN74AHCT1G125DCKR,Nexperia,"74AHCT1G125GW,125",Diodes Incorporated,74AHCT1G125SE-7,,
150-001077,ICS MUX 2TO1 2G ANA VSSOP10,A,ICS_MUX_2TO1_2G_ANA_VSSOP10,EA,,1,U46,,Texas Instruments,TS5A22362DGSR,,,,,,
150-001106,ICS XCVR CAN 1G 3V SOIC8,A,ICS_XCVR_CAN_1G_3V_SOIC8,EA,,1,U45,,Texas Instruments,TCAN3413DR,,,,,,
162-001000,TP LOOP COLLAR RED TH,A,TP_LOOP_COLLAR_RED_TH,EA,,1,TP1,,Keystone,5000,,,,,,
162-001001,TP LOOP COLLAR BLK TH,A,TP_LOOP_COLLAR_BLK_TH,EA,,1,TP5,,Keystone,5001,,,,,,
162-001003,TP LOOP COLLAR ORN TH,A,TP_LOOP_COLLAR_ORN_TH,EA,,3,TP2 TP3 TP4,,Keystone,5003,,,,,,
170-001003,PWR LIN 3V3 300MA AP2127 SOT235,A,PWR_LIN_3V3_300MA_AP2127_SOT235,EA,,1,U50,,Diodes Incorporated,AP2127K-3.3TRG1,,,,,,
180-001012,RES 4K7 1% 1/16W 0402 100PPM,A,RES_4K7_1%_1/16_0402_100PPM,EA,,2,R40 R41,,Stackpole,RMCF0402FT4K70,Vishay Dale,CRCW04024K70FKED,Yageo,RC0402FR-074K7L,,
180-001078,RES 0R00 1% 1/16W 0402 100PPM,A,RES_0R00_1%_1/16_0402_100PPM,EA,,18,R20 R21 R22 R23 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R43 R44 R45 R46,,Stackpole,RMCF0402ZT0R00,Vishay Dale,CRCW04020000Z0ED,Yageo,RC0402JR-070RL,,
180-001086,RES 120R 1% 1/4W 0603 100PPM,A,RES_120R_1%_1/4W_0603_100PPM,EA,,1,R42,,Stackpole,RMCP0603FT120R,Vishay Dale,RCS0603120RFKEA,Yageo,SR0603FR-7T120RL,,
180-001105,RES 5K1 5% 1/4W 0402 200PPM,A,RES_5K1_5%_1/4W_0402_200PPM,EA,,13,R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R70 R71 R72,,Panasonic,ERJ-PA2J512X,KOA Speer,SG73P1EWTTP512J,,,,
180-001106,RES 0R00 1% 1/4W 1206 200PPM,A,RES_0R00_1%_1/4W_1206_200PPM,EA,,0,R50 R51,,Littelfuse,WJC1206LJUMPFNR,Stackpole,RMCF1206ZT0R00,Yageo,RC1206JR-070RL,,
